P_t,P_x,T_t,T_p
       20.7689501047,-0.133118,       21.0240335464,0.004578
       21.1832076311,-0.253418,       21.1990560293,-1.715332
       21.2179476023,1.224609,       21.2335755825,0.551147
       21.2389546633,0.220093,       21.3878251314,-0.174866
       21.4065761566,-0.363464,       21.4119690657,-0.363464
       21.4278271198,-0.231812,       21.4834935665,-0.169189
       21.5047100782,-0.179626,       21.5341621637,-0.072327
       21.7393445969,-0.130371,       21.7446026802,-0.130371
       21.8723170757,-0.245911,       21.8774465322,-0.245911
       21.8987616301,-0.322083,       21.9204190969,-0.426636
       21.9597411156,-0.413818,       22.1328545809,-0.153076
       22.1382250786,-0.178528,       22.3638590574,0.180542
       22.5098310709,0.709900,       22.5150665045,0.620728
       22.5417650938,0.524780,       22.5652951002,-1.565186
       22.5973505974,-0.134399,       22.6134265661,-0.103455
       22.6400610209,0.122681,       22.7863150835,-0.171387
       22.8847931623,-0.137512,       22.8901575804,-0.137512
       22.9620666504,-0.219543,       23.0229060650,-0.147217
       23.1631450653,0.031494,       23.1949235201,0.005859
       23.3411026001,-0.289856,       23.3570765257,-0.605896
       23.3945455551,-0.399536,       23.4578365088,0.020142
       23.4630726576,-0.131836,       23.7002570629,-0.337463
       23.7562410831,0.176331,       23.7882910967,0.374634
       24.0168430805,0.088440,       24.0487846136,-1.743164
       24.0676300526,0.398438,       24.0703166723,0.398438
       24.0784360170,0.357422,       24.0888540745,-0.267883
       24.1102460623,-0.045227,       24.1317800283,-0.273743
       24.1555135250,-0.272827,       24.3227380514,-0.281982
       24.3278380632,-0.260925,       24.3702145815,-0.107666
       24.4763351679,-0.067017,       24.5000480413,-0.034058
       24.7981716394,-0.346069,       24.8035504818,-0.421143
       24.8536641598,-0.266968,       25.0377410650,-0.204529
       25.0431295633,-0.204529,       25.0987195969,-0.175964
       25.1041145325,-0.175964,       25.2292275429,-0.027649
       25.2345991135,-0.015747,       25.2372810841,-0.015747
       25.2426015139,0.015747,       25.2744485140,0.303772
       25.2928454876,0.282349,       25.2982130051,0.282349
       25.4309015274,-0.546204,       25.4470385313,-0.509583
       25.4734700918,0.358704,       25.5245035887,-0.220642
       25.5352600813,-0.236938,       25.6033235788,-0.193726
       25.6084440947,-0.193726,       25.7019290924,-0.224121
       25.7418321371,-0.377563,       25.7472060919,-0.377563
       25.8001195192,-0.194275,       25.8027560711,-0.194275
       25.8401349783,-0.278320,       25.8454121351,-0.273743
       25.8748911619,0.036072,       25.9333711863,-0.072327
       26.1298536062,0.000732,       26.1350985765,0.000732
       26.1853566170,-0.591797,       26.1880500317,-0.599670
       26.2388790846,0.070679,       26.3349510431,-0.251038
       26.3403465748,-0.251038,       26.4126350880,-0.179443
       26.4178895950,-0.179443,       26.5883365870,0.035706
       26.6222414970,0.026001,       26.6831105947,0.188416
       26.7784216404,0.342590,       26.7836875916,0.456848
       26.8338050842,0.331238,       26.8391865492,0.306702
       26.8817635775,0.188965,       26.9001840353,-1.263611
       26.9216259718,0.743408,       26.9376655817,0.021606
       26.9589440823,-0.427917,       26.9670091867,-0.694885
       26.9723336697,-0.694885,       27.0280340910,-0.198853
       27.0333631039,-0.395691,       27.0863356590,-0.106567
       27.0888866186,-0.106567,       27.0943086147,-0.308167
       27.1211756468,-0.144470,       27.1428420544,-0.188049
       27.2543340921,-0.122498,       27.2862930298,0.023254
       27.2914370298,0.023254,       27.2941075563,0.023254
       27.2994735241,-0.026184,       27.4146620035,0.046143
       27.5804229975,-0.013367,       27.5933065414,-0.009521
       27.6306276321,-0.256531,       27.6413666010,-0.370605
       27.7138085365,-0.017395,       28.0423665047,-0.017761
       28.0477670431,-0.003845,       28.1676009893,0.267151
       28.1810951233,0.398987,       28.1864701509,0.354126
       28.2365630865,0.358521,       28.2392535210,0.358521
       28.3084415197,1.397095,       28.3138605356,1.397095
       28.3245905638,0.858215,       28.3402811289,-0.841187
       28.3559125662,2.186462,       28.3639791012,1.038940
       28.3667715788,0.103821,       28.3748745918,0.103821
       28.3802441359,-0.239136,       28.5026460886,-0.171936
       28.5077580214,-0.144836,       28.5183601379,-0.174500
       28.5501821041,-0.256165,       28.5850865841,-0.140259
       28.6111465693,-0.181458,       28.6617430449,-0.131287
