P_t,P_x,T_t,T_p
       21.0447986126,-0.089905,       20.8416060209,-0.042297
       21.0798621178,-0.224304,       21.0744820833,-0.224304
       21.3183480501,-0.236389,       21.3129875660,-0.261841
       21.4013661146,0.021057,       21.3959956169,0.021057
       21.4515811205,0.067017,       21.4434955120,0.067017
       21.5125391483,0.564514,       21.4567461014,0.111511
       21.6273481846,0.415649,       21.5179046392,0.564514
       21.6833831072,0.587952,       21.6564906836,-3.459961
       21.7097566128,0.211853,       21.6939890385,-0.788452
       21.7656590939,0.131653,       21.7441480160,-0.383789
       21.9893416166,-0.231262,       21.9441261292,-0.286926
       22.0668220520,-0.163696,       21.9946991205,-0.231262
       22.1045196056,-0.094482,       22.0829530954,-0.146118
       22.2109816074,-0.026917,       22.1202200651,-0.108215
       22.2720136642,-0.127258,       22.2427991629,-0.080566
       22.4161001444,-0.385071,       22.2773625851,-0.127258
       22.4583030939,-0.315857,       22.4212116003,-0.371338
       22.6044831276,0.013367,       22.5991010666,0.149048
       22.9982975721,0.785522,       22.8407541513,0.192810
       23.0304281712,-1.033813,       23.0034495592,0.736450
       23.0591940880,0.951782,       23.0515451431,-2.001343
       23.0752091408,1.315247,       23.0644160509,0.954895
       23.1021730900,0.389099,       23.0913755894,-0.252686
       23.5079236031,-0.021057,       23.3512661457,-0.162048
       23.7577050924,-0.075623,       23.5506670475,-0.015015
       23.8617966175,-0.322632,       23.7631005049,-0.091919
       23.9016276598,0.000732,       23.8962520361,-0.022888
       24.4229440689,0.094299,       24.2712341547,0.136047
       24.4708300829,1.679810,       24.4493596554,-4.030701
       24.5052671432,0.180542,       24.4891500473,-0.477539
       24.5478880405,-0.110229,       24.5317660570,-0.348083
       24.5667945147,-0.078735,       24.5614185333,-0.078735
       24.6333181858,-0.250671,       24.6279686689,-0.250671
       24.9107871056,-0.047058,       24.7267510891,-0.266785
       25.1823136806,-0.586121,       24.9270410538,-0.011536
       25.2083320618,-0.252686,       25.1874825954,-0.480835
       25.5702620745,-0.097778,       25.5648926497,-0.097778
       25.8014661074,0.277588,       25.6022255421,0.156921
       25.8520520926,1.651978,       25.8283436298,-2.882629
       25.8789336681,0.691772,       25.8681815863,-0.335449
       25.9189006090,0.003479,       25.9027845860,-0.266968
       26.0858085155,-0.207275,       26.0803896189,-0.207275
       26.1414625645,-0.152527,       26.1284766197,-0.118835
       26.2956681252,0.064453,       26.1468070745,-0.167175
       26.3459446430,0.052002,       26.3165986538,-0.021973
       26.5956350565,-0.147766,       26.3616451025,0.070496
       27.0506451130,0.604980,       26.9761856794,0.229797
       27.1537156105,0.270630,       27.0533810854,0.759155
       27.1986145973,0.064270,       27.1779295206,-3.218445
       27.2280330658,-0.254517,       27.2145020962,-0.731323
       27.2652245760,0.192444,       27.2490975857,-0.131287
       27.6271616220,-0.086426,       27.4594945908,-0.153625
       27.7546455860,-0.039917,       27.6325241327,-0.086426
       27.9413961172,-0.277588,       27.7600201368,-0.039917
       28.0315995216,-0.186035,       28.0262180567,-0.166443
       28.3035311699,0.039185,       28.3008240461,0.039185
       28.3699841499,0.376282,       28.3089267015,0.276672
       28.4899196625,0.067566,       28.3754041195,0.376282
       28.5301781893,1.215454,       28.5059430599,-2.498291
       28.5566500425,0.096863,       28.5458501577,-0.436890
       28.6637176275,-0.050537,       28.6583311558,-0.169189
       28.7188836336,-0.167542,       28.7137861252,-0.215881
       28.7801630497,-0.162048,       28.7747895718,-0.136230
       28.8119046688,-0.201416,       28.7957930565,-0.197571
       28.8967475891,-0.107849,       28.8729391098,-0.110413
       28.9631235600,-0.120483,       28.9395641088,-0.017029
       29.1448215246,0.082947,       28.9685031176,-0.120483
       29.1794877052,-0.114075,       29.1605806351,-0.052917
       29.2460150719,-0.266052,       29.1848881245,-0.114075
       29.2513936758,-0.266052,       29.2487025261,-0.266052
       29.2617580891,-0.223389,       29.2566170692,-0.223389
       29.3233606815,-0.308899,       29.3179651499,-0.138794
       29.3843765259,0.304504,       29.3789430857,0.253784
       29.4617650509,-0.471680,       29.4566311836,-0.086060
       29.8102531433,-0.304138,       29.6430910826,0.159119
       29.8446245193,0.384521,       29.8317835331,-3.125061
       29.8550095558,1.528564,       29.8497351408,1.528564
       29.8819776773,0.044128,       29.8711825609,-0.509949
       29.9166231155,0.294983,       29.9031291008,-0.260376
       30.0874055624,-0.268066,       30.0660986900,-0.218994
       30.1217221022,-0.096680,       30.1163431406,-0.049438
       30.2654320002,-0.041382,       30.1271046400,-0.096680
       30.4474716187,0.065552,       30.2986930609,-0.078369
       30.5701825619,-0.109863,       30.4705210924,-0.082397
       30.6206620932,-0.209106,       30.6152961254,-0.263672
       30.7368896008,-0.109131,       30.7316950560,-0.056213
       31.1183266640,-0.506287,       30.9590196609,0.234924
       31.1529790163,0.747986,       31.1341165304,-1.000854
       31.2168800831,0.203247,       31.2062816620,-0.330139
       31.2245576382,0.310181,       31.2194380760,0.203247
       31.3734540939,-0.249023,       31.3573441505,-0.243896
       31.4132770300,-0.040833,       31.4078800678,-0.040833
       31.5243415833,-0.109131,       31.4398030043,-0.118469
       31.5853860378,-0.055664,       31.5297141075,-0.109131
